,date,설명,요일,IsHoliday,지속휴일수
0,2019-01-01,새해,1,1.0,1.0
1,2019-01-02,,2,0.0,0.0
2,2019-01-03,,3,0.0,0.0
3,2019-01-04,,4,0.0,0.0
4,2019-01-05,,5,1.0,2.0
5,2019-01-06,,6,1.0,2.0
6,2019-01-07,,0,0.0,0.0
7,2019-01-08,,1,0.0,0.0
8,2019-01-09,,2,0.0,0.0
9,2019-01-10,,3,0.0,0.0
10,2019-01-11,,4,0.0,0.0
11,2019-01-12,,5,1.0,2.0
12,2019-01-13,,6,1.0,2.0
13,2019-01-14,,0,0.0,0.0
14,2019-01-15,,1,0.0,0.0
15,2019-01-16,,2,0.0,0.0
16,2019-01-17,,3,0.0,0.0
17,2019-01-18,,4,0.0,0.0
18,2019-01-19,,5,1.0,2.0
19,2019-01-20,,6,1.0,2.0
20,2019-01-21,,0,0.0,0.0
21,2019-01-22,,1,0.0,0.0
22,2019-01-23,,2,0.0,0.0
23,2019-01-24,,3,0.0,0.0
24,2019-01-25,,4,0.0,0.0
25,2019-01-26,,5,1.0,2.0
26,2019-01-27,,6,1.0,2.0
27,2019-01-28,,0,0.0,0.0
28,2019-01-29,,1,0.0,0.0
29,2019-01-30,,2,0.0,0.0
30,2019-01-31,,3,0.0,0.0
31,2019-02-01,,4,0.0,0.0
32,2019-02-02,,5,1.0,5.0
33,2019-02-03,,6,1.0,5.0
34,2019-02-04,설날,0,1.0,5.0
35,2019-02-05,설날,1,1.0,5.0
36,2019-02-06,설날,2,1.0,5.0
37,2019-02-07,,3,0.0,0.0
38,2019-02-08,,4,0.0,0.0
39,2019-02-09,,5,1.0,2.0
40,2019-02-10,,6,1.0,2.0
41,2019-02-11,,0,0.0,0.0
42,2019-02-12,,1,0.0,0.0
43,2019-02-13,,2,0.0,0.0
44,2019-02-14,,3,0.0,0.0
45,2019-02-15,,4,0.0,0.0
46,2019-02-16,,5,1.0,2.0
47,2019-02-17,,6,1.0,2.0
48,2019-02-18,,0,0.0,0.0
49,2019-02-19,,1,0.0,0.0
50,2019-02-20,,2,0.0,0.0
51,2019-02-21,,3,0.0,0.0
52,2019-02-22,,4,0.0,0.0
53,2019-02-23,,5,1.0,2.0
54,2019-02-24,,6,1.0,2.0
55,2019-02-25,,0,0.0,0.0
56,2019-02-26,,1,0.0,0.0
57,2019-02-27,,2,0.0,0.0
58,2019-02-28,,3,0.0,0.0
59,2019-03-01,삼일절,4,1.0,3.0
60,2019-03-02,,5,1.0,3.0
61,2019-03-03,,6,1.0,3.0
62,2019-03-04,,0,0.0,0.0
63,2019-03-05,,1,0.0,0.0
64,2019-03-06,,2,0.0,0.0
65,2019-03-07,,3,0.0,0.0
66,2019-03-08,,4,0.0,0.0
67,2019-03-09,,5,1.0,2.0
68,2019-03-10,,6,1.0,2.0
69,2019-03-11,,0,0.0,0.0
70,2019-03-12,,1,0.0,0.0
71,2019-03-13,,2,0.0,0.0
72,2019-03-14,,3,0.0,0.0
73,2019-03-15,,4,0.0,0.0
74,2019-03-16,,5,1.0,2.0
75,2019-03-17,,6,1.0,2.0
76,2019-03-18,,0,0.0,0.0
77,2019-03-19,,1,0.0,0.0
78,2019-03-20,,2,0.0,0.0
79,2019-03-21,,3,0.0,0.0
80,2019-03-22,,4,0.0,0.0
81,2019-03-23,,5,1.0,2.0
82,2019-03-24,,6,1.0,2.0
83,2019-03-25,,0,0.0,0.0
84,2019-03-26,,1,0.0,0.0
85,2019-03-27,,2,0.0,0.0
86,2019-03-28,,3,0.0,0.0
87,2019-03-29,,4,0.0,0.0
88,2019-03-30,,5,1.0,2.0
89,2019-03-31,,6,1.0,2.0
90,2019-04-01,,0,0.0,0.0
91,2019-04-02,,1,0.0,0.0
92,2019-04-03,,2,0.0,0.0
93,2019-04-04,,3,0.0,0.0
94,2019-04-05,,4,0.0,0.0
95,2019-04-06,,5,1.0,2.0
96,2019-04-07,,6,1.0,2.0
97,2019-04-08,,0,0.0,0.0
98,2019-04-09,,1,0.0,0.0
99,2019-04-10,,2,0.0,0.0
100,2019-04-11,,3,0.0,0.0
101,2019-04-12,,4,0.0,0.0
102,2019-04-13,,5,1.0,2.0
103,2019-04-14,,6,1.0,2.0
104,2019-04-15,,0,0.0,0.0
