"행정구역(시군구)별",2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",51826287,51829538,51833175,51836763,51840339,51842636,51845612,51847538,51849253,51850705,51851427,51849861,51847509,51844627,51843195,51842524,51841371,51839408,51839852
"서울특별시",9766288,9770638,9770216,9766886,9762062,9757144,9751415,9744888,9740398,9736289,9732577,9729107,9733509,9736962,9733655,9726787,9724496,9720846,9715429
"부산광역시",3438259,3436230,3434091,3431750,3429595,3427632,3425317,3423209,3421502,3418871,3416721,3413841,3411819,3410925,3409932,3408347,3406942,3404423,3402776
"대구광역시",2460382,2458138,2455829,2454154,2452291,2450478,2448666,2446745,2445270,2443528,2441581,2438031,2436488,2432883,2433568,2431523,2429059,2427954,2428022
"인천광역시",2955916,2956063,2956513,2956700,2957179,2957024,2956828,2956525,2956804,2956984,2957249,2957026,2956119,2954955,2952689,2950972,2950063,2947217,2945565
"광주광역시",1459832,1459208,1458930,1458940,1459003,1459024,1459486,1459438,1459632,1459360,1458915,1456468,1456688,1456121,1455705,1456096,1455533,1455048,1454709
"대전광역시",1488725,1487605,1486647,1485509,1484398,1482938,1481701,1480520,1479641,1478436,1476955,1474870,1474152,1473125,1471858,1471650,1471915,1471040,1470225
"울산광역시",1154786,1153735,1152800,1152293,1151685,1151301,1150891,1150294,1149873,1149409,1148922,1148019,1147037,1145710,1144563,1144098,1143148,1142190,1141362
"세종특별자치시",316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,342328,343788,344792,345216,345373,345341,346217
"경기도",13090648,13104696,13116579,13129508,13145482,13159178,13176011,13193943,13207219,13218912,13228177,13239666,13250368,13265377,13288975,13311254,13324041,13338020,13351891
"강원도",1541693,1540445,1540488,1540794,1540776,1540855,1540714,1540780,1540721,1540897,1541399,1541502,1540540,1539521,1538577,1537780,1538639,1539282,1540094
"충청북도",1599155,1598868,1598775,1599488,1599854,1599650,1599368,1599402,1599339,1599499,1599651,1600007,1599391,1598599,1597639,1596613,1596710,1597593,1597936
"충청남도",2125797,2125372,2125778,2125912,2125732,2125855,2125349,2125160,2124855,2124619,2124302,2123709,2122455,2120995,2119749,2118457,2118510,2119771,2120692
"전라북도",1834532,1832227,1830499,1829273,1827871,1826717,1825381,1823982,1822883,1821813,1820799,1818917,1817302,1815112,1812936,1811619,1810097,1808802,1808044
"전라남도",1878904,1875862,1874232,1873183,1871718,1870587,1868856,1867094,1865915,1865039,1865588,1868745,1864712,1861894,1859290,1857083,1855945,1854618,1853339
"경상북도",2674005,2671587,2671036,2670375,2669731,2669850,2668836,2667657,2666795,2666072,2665775,2665836,2662508,2658956,2653418,2651054,2648760,2646493,2644001
"경상남도",3373214,3371016,3369949,3368933,3367857,3366989,3366286,3365282,3364039,3363883,3363274,3362553,3361344,3358828,3355341,3353380,3351347,3349454,3347637
"제주특별자치도",667337,667522,668120,668648,669328,669771,670209,670521,670610,670738,670895,670989,670749,670876,670508,670595,670793,671316,671913
